co2,regiao
31.55,ABC
30.68,ABC
30.81,ABC
30.88,ABC
30.68,ABC
30.41,ABC
30.81,ABC
30.94,ABC
30.81,ABC
31.35,ABC
31.55,ABC
31.62,ABC
31.42,ABC
31.83,ABC
32.38,ABC
32.31,ABC
32.24,ABC
32.66,ABC
32.17,ABC
31.69,ABC
31.01,ABC
31.83,ABC
31.69,ABC
31.76,ABC
31.83,ABC
32.03,ABC
31.28,ABC
31.76,ABC
31.21,ABC
31.62,ABC
32.03,ABC
30.68,ABC
30.81,ABC
30.88,ABC
30.94,ABC
30.54,ABC
30.81,ABC
30.94,ABC
31.35,ABC
31.28,ABC
30.88,ABC
30.94,ABC
30.88,ABC
30.88,ABC
30.81,ABC
30.88,ABC
30.68,ABC
31.28,ABC
31.28,ABC
32.03,ABC
31.83,ABC
31.76,ABC
32.45,ABC
32.73,ABC
31.69,ABC
30.68,ABC
30.68,ABC
30.48,ABC
30.94,ABC
30.88,ABC
30.94,ABC
31.01,ABC
31.21,ABC
31.21,ABC
30.94,ABC
30.61,ABC
30.81,ABC
30.94,ABC
30.88,ABC
31.28,ABC
30.94,ABC
30.54,ABC
30.81,ABC
30.61,ABC
30.94,ABC
30.94,ABC
30.88,ABC
30.94,ABC
31.48,ABC
31.62,ABC
31.08,ABC
31.69,ABC
31.62,ABC
31.62,ABC
31.62,ABC
31.62,ABC
31.55,ABC
31.35,ABC
31.69,ABC
31.69,ABC
31.08,ABC
31.15,ABC
32.17,ABC
31.69,ABC
31.28,ABC
31.08,ABC
31.48,ABC
31.42,ABC
31.62,ABC
31.01,ABC
31.48,ABC
31.35,ABC
30.74,ABC
31.48,ABC
31.69,ABC
31.62,ABC
31.15,ABC
31.62,ABC
31.55,ABC
31.62,ABC
31.28,ABC
31.76,ABC
31.48,ABC
31.9,ABC
31.83,ABC
31.55,ABC
31.28,ABC
31.48,ABC
31.55,ABC
31.9,ABC
31.48,ABC
31.15,ABC
31.76,ABC
31.28,ABC
31.83,ABC
31.76,ABC
31.69,ABC
31.9,ABC
31.9,ABC
32.31,ABC
32.03,ABC
32.03,ABC
32.03,ABC
32.24,ABC
32.24,ABC
32.24,ABC
32.17,ABC
33.15,ABC
32.94,ABC
33.08,ABC
32.52,ABC
32.66,ABC
32.38,ABC
32.59,ABC
32.52,ABC
33.15,ABC
33.58,ABC
33.37,ABC
33.87,ABC
33.01,ABC
32.87,ABC
32.87,ABC
32.94,ABC
33.51,ABC
33.94,ABC
33.58,ABC
33.94,ABC
34.52,ABC
35.12,ABC
36.48,ABC
35.19,ABC
37.41,ABC
37.1,ABC
35.49,ABC
35.19,ABC
34.6,ABC
33.3,ABC
34.01,ABC
35.19,ABC
35.94,ABC
36.94,ABC
37.8,ABC
39.25,ABC
38.6,ABC
38.28,ABC
39.33,ABC
39.5,ABC
38.12,ABC
38.44,ABC
34.6,ABC
32.73,ABC
33.01,ABC
33.58,ABC
33.8,ABC
33.87,ABC
32.66,ABC
32.1,ABC
32.1,ABC
32.38,ABC
32.38,ABC
32.24,ABC
32.38,ABC
32.1,ABC
32.52,ABC
32.94,ABC
33.15,ABC
33.87,ABC
34.23,ABC
34.82,ABC
36.4,ABC
37.65,ABC
36.63,ABC
36.79,ABC
38.6,ABC
37.33,ABC
34.75,ABC
34.6,ABC
34.6,ABC
35.12,ABC
36.63,ABC
37.65,ABC
39.5,ABC
39.83,ABC
37.02,ABC
36.56,ABC
37.02,ABC
36.4,ABC
39.01,ABC
39.91,ABC
38.68,ABC
36.4,ABC
35.19,ABC
33.15,ABC
33.8,ABC
34.31,ABC
34.89,ABC
37.02,ABC
35.04,ABC
34.31,ABC
32.73,ABC
32.38,ABC
32.24,ABC
32.73,ABC
32.45,ABC
32.1,ABC
32.45,ABC
31.9,ABC
31.42,ABC
31.83,ABC
31.96,ABC
32.38,ABC
31.9,ABC
31.48,ABC
32.03,ABC
32.03,ABC
32.03,ABC
31.9,ABC
32.17,ABC
32.17,ABC
32.24,ABC
31.76,ABC
31.9,ABC
32.03,ABC
32.1,ABC
32.03,ABC
31.96,ABC
32.03,ABC
31.9,ABC
31.83,ABC
31.42,ABC
32.24,ABC
32.17,ABC
32.1,ABC
32.17,ABC
32.1,ABC
32.17,ABC
32.03,ABC
32.1,ABC
31.83,ABC
32.17,ABC
31.96,ABC
32.1,ABC
31.48,ABC
32.03,ABC
31.69,ABC
32.38,ABC
32.03,ABC
32.03,ABC
32.38,ABC
32.45,ABC
32.24,ABC
32.1,ABC
31.83,ABC
32.17,ABC
31.96,ABC
31.9,ABC
31.96,ABC
32.17,ABC
31.83,ABC
31.42,ABC
32.03,ABC
31.76,ABC
31.76,ABC
31.62,ABC
31.28,ABC
31.28,ABC
31.55,ABC
31.62,ABC
31.62,ABC
31.83,ABC
31.76,ABC
31.76,ABC
31.76,ABC
31.83,ABC
31.76,ABC
