data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/4/13, 39, 22, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/14, 45, 27, 24, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/15, 47, 26, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/16, 45, 26, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/17, 50, 30, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/18, 57, 19, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/19, 17, 16, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/20, 32, 25, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/21, 40, 36, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/22, 63, 40, 48, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/23, 66, 56, 64, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/24, 78, 62, 43, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/25, 89, 26, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/26, 48, 24, 22, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/27, 41, 35, 43, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/28, 64, 43, 40, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/29, 69, 37, 38, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/30, 75, 47, 58, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/1, 86, 61, 55, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/2, 79, 49, 40, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/3, 71, 41, 57, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/4, 81, 50, 40, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/5, 92, 38, 42, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/6, 79, 42, 38, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/7, 79, 60, 7, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/8, 86, 42, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/9, 65, 52, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/10, 75, 32, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/11, 50, 64, 11, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/12, 97, 63, 29, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/13, 85, 55, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/14, 74, 17, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/15, 15, 14, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/16, 17, 43, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/17, 68, 62, 38, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/18, 98, 51, 48, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/19, 92, 23, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/20, 39, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/23, 57, 54, 1, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/24, 84, 53, 5, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/25, 77, 23, 2, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/26, 39, 10, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/27, 6, 19, 10, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/28, 14, 26, , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/29, 44, 21, 7, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/30, 19, 19, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/5/31, 40, 24, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/1, 29, 19, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/2, 26, 22, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/3, 33, 35, 1, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/4, 51, 25, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/5, 58, 8, 11, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/6, 20, 52, 24, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/7, 84, 81, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/8, 85, 82, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/9, 91, , 33, , , ,-23.66740510650914,-46.460780861433044,Maua
