date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/7/9, 19, , 9, 15, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/10, 27, , 15, 19, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/11, 41, , 14, 20, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/12, 71, , 16, 7, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/13, 23, , 14, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/14, 29, , 23, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/15, 40, , 15, 12, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/16, 49, , 28, 12, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/17, 53, , 17, 26, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/18, 56, , 22, 22, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/19, 82, , 20, 16, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/20, 73, , 40, 18, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/21, 85, , 45, 15, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/22, 84, , 31, 25, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/23, 79, , 32, 20, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/24, 59, , 39, 20, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/25, 67, , 39, 32, , 8,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/26, 84, , 47, 39, , 10,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/27, 99, , 42, 24, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/28, 91, , 38, 21, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/29, 83, , 32, 17, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/30, 68, , 16, 9, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/31, 17, , 20, 10, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/1, 39, , 27, 14, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/2, 65, , 28, 18, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/3, 63, , 33, 19, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/4, 55, , 24, 14, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/5, 52, , 30, 17, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/6, 45, , 32, 22, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
