date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2019/10/19, 80, 19, 36, 4, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/20, 39, 16, 23, 1, 1, 1,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/21, 31, 28, 19, 12, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/22, 51, 30, 28, 11, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/23, 60, 19, 28, 7, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/24, 50, 23, 38, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/25, 54, 40, 37, 12, 4, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/26, 83, 28, 31, 8, 3, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/27, 60, 22, 44, 7, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/28, 61, 24, 55, 9, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/29, 76, 27, 53, 17, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/30, 47, 28, 83, 13, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/31, 60, 33, 55, 12, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/1, 68, 25, 32, 7, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/2, 59, 22, 33, 6, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/3, 55, 30, 51, 5, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/4, 63, 25, 39, 9, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/5, 59, 12, 69, 9, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/6, 38, , 24, 7, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/7, 31, 26, 16, 11, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/8, 45, 21, 23, 11, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/9, 48, 14, 12, 7, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/10, 36, 15, 29, 7, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/11, 43, 13, 9, 6, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/12, 43, 10, 16, 3, 4, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/13, 21, 22, 26, 8, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/14, 36, 15, 21, 12, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/15, 46, 13, 23, 6, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/16, 38, 26, 30, 7, 4, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/17, 51, 19, 27, 9, 2, 1,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/18, 38, 19, 20, 11, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/19, 48, 22, 24, 8, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/20, 41, 16, 23, 4, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/21, 37, 25, 33, 8, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/22, 51, 22, 46, 15, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/23, 55, 14, 36, 5, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/24, 37, 17, 22, 1, 1, 1,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/25, 33, 26, 16, 6, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/26, 34, 27, 43, 11, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/27, 61, 28, 30, 13, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/28, 54, 10, 21, 8, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/29, 22, 28, 21, 6, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/11/30, 49, 21, 50, 9, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/1, 63, 14, 36, 5, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/2, 40, 15, 19, 5, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/3, 28, 23, 15, 8, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/4, 48, 29, 41, 13, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/5, 66, 18, 26, 13, , 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/6, 44, 21, 20, 9, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/7, 42, 18, 32, 8, 3, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/8, 40, 20, 39, 9, 3, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/9, 52, 22, 33, 14, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/10, 59, 20, 18, 22, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/11, 72, 19, 40, 18, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/12, 79, 18, 33, 14, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/13, 46, 17, 41, 12, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/12/14, 65, , 25, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/2, 68, 47, 33, 24, 1, 8,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/3, 91, 46, 32, 23, 1, 7,-23.541638970943424,-46.47125736949073,Itaquera
