data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/7/11, 38, 37, 8, 16, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/12, 72, 17, 12, 8, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/13, 29, 13, 11, 8, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/14, 28, 17, 23, 6, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/15, 41, 25, 22, 14, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/16, 62, 32, 15, 14, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/17, 67, 36, 15, 16, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/18, 77, 46, 28, 22, 1, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/19, 90, 35, 25, 15, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/20, 74, 34, 19, 14, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/21, 81, 30, 27, 8, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/22, 73, 51, 34, 25, 1, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/23, 99, 70, 34, 29, 2, 10,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/24, 128, 51, 26, 26, 4, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/25, 94, 57, 35, 27, 1, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/26, 103, 66, 34, 31, 2, 10,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/27, 116, 54, 31, 21, 2, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/28, 94, 50, 29, 18, 1, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/29, 96, 54, 44, 24, 3, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/30, 110, 6, 13, 10, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/31, 17, 17, 20, 12, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/1, 30, 28, 17, 13, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/2, 61, 32, 23, 15, 3, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/3, 63, 28, 24, 13, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/4, 58, 23, 18, 10, 2, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/5, 52, 33, 22, 16, 4, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/6, 67, 42, 24, 21, 3, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/7, 73, 54, 22, 21, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/8, 92, 57, 27, 24, 5, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/9, 86, 38, 12, 22, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/10, 70, 14, 13, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/11, 35, 22, 18, 11, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/12, 45, 24, 24, 17, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/13, 52, 38, 18, 14, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/14, 67, 38, 22, 15, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/15, 67, 59, 31, 28, 2, 9,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/16, 104, 76, 64, 26, 1, 10,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/17, 125, 76, 40, 30, 1, 13,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/18, 129, 111, 2, 42, 5, 29,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/19, 183, 66, 43, 36, 2, 9,-23.467295600325237,-46.53206211505543,Guarulhos
2024/8/20, 126, 108, 2, 45, 2, 18,-23.467295600325237,-46.53206211505543,Guarulhos
